code_identifiant;format_administration;Code de la substance;denomination_de_la_substance;dosage_de_la_substance;réferent_dosage;Nature du composant;Numéro permettant de lier, le cas échéant, substances actives et fractions thérapeutiques
62793519;Comprimé;70320;DONÉPÉZIL BASE;4,56 mg;un comprimé;Fraction Thérapeutique;1
62801318;Comprimé;64251;FAMCICLOVIR;500 mg;un comprimé;Principe Actif;1
62805964;Gel;37;DICLOFÉNAC SODIQUE;1 g;100 g de gel;Fraction Thérapeutique;1
62822903;Comprimé;50091;ATORVASTATINE CALCIQUE;;;Principe Actif;1
62824950;Solution d'acides aminés;674;TRYPTOPHANE L;2 g;1000 ml de solution d'acides aminés;Principe Actif;16
62826481;Poudre;93286;ACIDE CLAVULANIQUE;12,5 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;2
62837759;Comprimé;933;TARTRATE DE MÉTOPROLOL;100,00 mg;un comprimé;Principe Actif;1
62847550;Comprimé;19809;ATORVASTATINE;20 mg;un comprimé;Fraction Thérapeutique;1
62850272;Comprimé;1106;ALTIZIDE;15 mg;un comprimé;Principe Actif;3
62867371;Gélule;94881;MAGNÉSIUM;45 mg;une gélule;Fraction Thérapeutique;1
62874405;Comprimé;1525;VITAMINE D3;400 UI;un comprimé;Fraction Thérapeutique;2
62874405;Comprimé;85054;CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE;4 mg;un comprimé;Principe Actif;2
62880365;Comprimé;73953;RABÉPRAZOLE SODIQUE;20 mg;un comprimé;Principe Actif;2
62884698;Solution;3018;MAGNÉSIUM (CHLORURE DE) HEXAHYDRATÉ;0,5 g;1000 ml;Principe Actif;5
62885889;Solution;1178;L-ARGININE;0,8266 mg;une ampoule de 5 ml;Fraction Thérapeutique;1
62889478;Poudre;76556;PENTÉTRÉOTIDE;10 microgrammes;un flacon;Principe Actif;1
64712373;Comprimé;24563;CLARITHROMYCINE;500 mg;un comprimé;Principe Actif;1
64714100;Compartiment 3 : solution de glucose;529;GLUCOSE ANHYDRE;125 g;400 ml de solution d'acides aminés;Fraction Thérapeutique;16
64720320;Solution;900;BORAX;12 mg;1 ml de solution;Principe Actif;1
64726978;Solution buvable en gouttes;24745;ANACARDIUM ORIENTALE POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 ml de solution pour pulvérisation nasale;Principe Actif;19
64737775;Suspension;17091;VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ;360 unités ELISA;0,5 ml;Principe Actif;1
64742740;Poudre;44234;ÉSOMÉPRAZOLE SODIQUE;;;Principe Actif;1
64743130;Solution;297;LYSINE (ACÉTATE DE);1270 mg;un flacon;Principe Actif;11
64757532;Gel;3885;LÉVODOPA;20 mg;1 ml;Principe Actif;2
64779564;Suspension;641;PIVALATE DE TIXOCORTOL;0,333 g;100 ml;Principe Actif;1
64786092;Gélule;5093;CHLORHYDRATE DE BENSÉRAZIDE;;;Principe Actif;2
64805297;Dispositif n°16 panel 2;37292;CYCLOHEXYLPHÉNYLPARAPHÉNYLÈNEDIAMINE;0,025 mg;un dispositif;Principe Actif;94
64805297;Dispositif n°6 panel 1;3806;EUGÉNOL;0,034 mg;un dispositif;Principe Actif;16
64805297;Dispositif n°8 panel 1;71100;RÉSINE ÉPOXY;0,041 mg;un dispositif;Principe Actif;25
64821401;Comprimé;79562;LORMÉTAZÉPAM;1 mg;un comprimé;Principe Actif;1
64822802;Comprimé;73594;CANDÉSARTAN CILEXÉTIL;16 mg;un comprimé;Principe Actif;1
64867402;Collyre;97986;LODOXAMIDE TROMÉTHAMINE;0,712 mg;un récipient unidose;Principe Actif;1
64869766;Comprimé;355;MALÉATE DE TRIMÉBUTINE;100 mg;un comprimé;Principe Actif;1
64875192;Comprimé;44598;FERREUX (SULFATE) DESSÉCHÉ;154,530 mg;un comprimé;Principe Actif;14
64875438;Comprimé;2245;ACÉTATE DE CHLORMADINONE;2 mg;un comprimé;Principe Actif;1
64894666;Solution buvable en gouttes;14116;AURUM MURIATICUM NATRONATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;un comprimé;Principe Actif;19
64902547;Solution;53983;PISCIDIA (EXTRAIT FLUIDE DE);0,0027 g;100 ml;Principe Actif;12
64922382;Comprimé;1976;GLIBENCLAMIDE;2,5 mg;un comprimé;Principe Actif;1
64925955;Poudre;79576;MACROGOL 3350;2,950 g;un sachet de 3,45 g;Principe Actif;1
64926911;Poudre orale;46539;ANTIMONIUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;un sachet de 3,45 g;Principe Actif;23
64930639;Comprimé;17723;OLANZAPINE;7,5 mg;un comprimé;Principe Actif;1
64959847;Gaz;75712;PROTOXYDE D'AZOTE;qs (gaz liquéfié sous une pression de 44 bar à 15°C);un flacon;Principe Actif;1
64986919;Comprimé;32131;CABERGOLINE;0,5 mg;un comprimé;Principe Actif;1
64991179;Comprimé;66292;MIZOLASTINE;10,00 mg;un comprimé;Principe Actif;1
64995583;Solution;4962;HEPTAMINOL (CHLORHYDRATE D');0,180 g;5 ml;Principe Actif;10
64996379;Gélule;3155;AMPICILLINE TRIHYDRATÉE;;;Principe Actif;2
65013910;Collyre;83176;CHLORHYDRATE DE DORZOLAMIDE;22,26 mg;1 ml de collyre en solution;Principe Actif;1
65027575;Solution;2293;IOPROMIDE;768,86 mg;1 ml de solution injectable;Principe Actif;1
65031278;Comprimé;67549;RABÉPRAZOLE;18,85 mg;un comprimé;Fraction Thérapeutique;1
65043451;Comprimé;94037;NICOTINE;2 mg;un comprimé;Fraction Thérapeutique;1
65062366;Comprimé;25117;AGARICUS MUSCARIUS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
65095900;Capsule;923;ALPHA-TOCOPHÉROL;4 mg;une capsule;Principe Actif;2
65103140;Collyre;15009;TIMOLOL BASE;5 mg;1 ml;Fraction Thérapeutique;2
65103140;Collyre;83176;CHLORHYDRATE DE DORZOLAMIDE;;;Principe Actif;1
65104897;Comprimé;26718;OR (POUDRE D') MÉTALLIQUE;0,098 mg;un comprimé;Principe Actif;6
65106581;Solution;2596;IOHEXOL;64,70 g;100 ml de solution;Principe Actif;1
65107402;Comprimé;93748;BÉSILATE D'AMLODIPINE;13,888 mg;un comprimé;Principe Actif;2
65111532;Poudre;78167;FACTEUR VII DE COAGULATION HUMAIN;10 - 25 UI;1 ml de solution reconstituée;Principe Actif;2
65118181;Comprimé;2064;HYDROCHLOROTHIAZIDE;6,25 mg;un comprimé;Principe Actif;2
65124280;Comprimé;2092;IBUPROFÈNE;200 mg;un comprimé;Principe Actif;1
65142848;Comprimé;70278;ALISKIRÈNE;150 mg;un comprimé;Fraction Thérapeutique;1
65150485;Poudre orale;17778;ARUM TRIPHYLLUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;24
65154252;Comprimé beige;1807;ÉTHINYLESTRADIOL;0,03 mg;un comprimé;Principe Actif;17
65208935;Solution buvable en ampoules;12123;BROMUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml;Principe Actif;23
65223346;Comprimé;72818;OXYDE DE LOPÉRAMIDE ANHYDRE;1,00 mg;un comprimé;Fraction Thérapeutique;1
65233689;Collyre;18310;PICLOXYDINE BASE;0,173 mg;un récipient unidose;Fraction Thérapeutique;2
65250838;Comprimé blanc;1807;ÉTHINYLESTRADIOL;0,030 mg;un comprimé;Principe Actif;2
65265313;Comprimé;1106;ALTIZIDE;15 mg;un comprimé;Principe Actif;2
65272215;Lyophilisat;1;CHLORHYDRATE DE LOPÉRAMIDE;2 mg;un lyophilisat;Principe Actif;1
65283820;Gélule;41239;MALATE DE SUNITINIB;;;Principe Actif;1
65310452;Dispositif;1786;ESTRADIOL;8 mg;un dispositif;Principe Actif;1
65322262;Comprimé;2202;PARACÉTAMOL;400 mg;un comprimé;Principe Actif;2
65322636;Comprimé;11532;RAMIPRIL;10 mg;un comprimé;Principe Actif;1
65323026;Comprimé;428;CARBONATE DE CALCIUM;680 mg;un comprimé;Principe Actif;2
65323802;Solution;2045;HEXÉTIDINE;0,100 g;100 ml de solution pour bain de bouche;Principe Actif;1
65330992;Comprimé;3225;HYDROGÉNOSUCCINATE DE DOXYLAMINE;15 mg;un comprimé;Principe Actif;1
65368480;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,5 mg;un comprimé;Principe Actif;2
65386749;Comprimé;37011;LAMOTRIGINE;100 mg;un comprimé;Principe Actif;1
65391283;Comprimé;25715;ACICLOVIR;800 mg;un comprimé;Principe Actif;1
65394265;Solution buvable en gouttes;8212;NUX MOSCHATA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une gélule;Principe Actif;20
65401375;Solution;549;IODE;12 g;100 ml de solution;Fraction Thérapeutique;1
65418143;Compartiment : solution d'acides aminés;6;ACIDE ASPARTIQUE;1,80 g;500 ml;Principe Actif;11
65418143;Compartiment : solution d'acides aminés;610;PHÉNYLALANINE;4,21 g;500 ml;Principe Actif;15
65418143;Compartiment : solution d'acides aminés;675;VALINE;3,12 g;500 ml;Principe Actif;6
65418143;Compartiment : solution de glucose;17150;GLUCOSE MONOHYDRATÉ;165,00 g;500 ml;Principe Actif;23
65424737;Poudre;41629;NONACOG ALFA;250 UI;un flacon;Principe Actif;1
65449441;Vernis à ongles;53732;CHLORHYDRATE D'AMOROLFINE;5,57 g;100 ml;Principe Actif;1
65456667;Comprimé;11448;CARBIDOPA;31,25 mg;un comprimé;Principe Actif;2
65461618;Solution;629;L-SÉRINE;0,510 g;1000 ml;Principe Actif;5
65461618;Solution;3482;L-PROLINE;0,595 g;1000 ml;Principe Actif;6
65463708;Comprimé;1257;DICHLORHYDRATE DE BÉTAHISTINE;8 mg;un comprimé;Principe Actif;1
65470567;Comprimé;23046;FLUVOXAMINE (MALÉATE DE);50,00 mg;un comprimé;Principe Actif;1
62686823;Solution;69062;FOSCARNET SODIQUE HEXAHYDRATÉ;6 g;250 ml;Principe Actif;1
62912941;Comprimé;37;DICLOFÉNAC SODIQUE;50 mg;un comprimé;Principe Actif;1
66318480;Comprimé;21053;CAPTOPRIL;50 mg;un comprimé;Principe Actif;1
66331314;Comprimé;48528;LOSARTAN POTASSIQUE;100 mg;un comprimé;Principe Actif;1
66332081;Gélule;11279;FLUCONAZOLE;150 mg;une gélule;Principe Actif;1
66336667;Comprimé;48528;LOSARTAN POTASSIQUE;50 mg;un comprimé;Principe Actif;1
66340014;Gélule;26322;VENLAFAXINE;37,5 mg;une gélule;Fraction Thérapeutique;1
66385625;Suppositoire;5667;TÉNOATE DE SODIUM;0,190 g;un suppositoire;Principe Actif;2
66388308;Gel;22364;DICLOFÉNAC DE DIÉTHYLAMINE;1,16 g;100 g de gel;Principe Actif;1
66396810;Solution;90361;ROTAVIRUS RÉASSORTANT HUMAIN-BOVIN DE TYPE P1A[8] (VIVANT);au minimum 2300000 UI;une dose de 2 ml;Principe Actif;5
66415075;Granules;19237;SAMBUCUS NIGRA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
66418648;Granulés;2202;PARACÉTAMOL;0,2800 g;un sachet de 3 g;Principe Actif;3
66426495;Suppositoire;71195;ESCULOSIDE SESQUIHYDRATÉ;6,0 mg;un suppositoire;Principe Actif;2
66426680;Capsule;2229;PROGESTÉRONE;200 mg;une capsule;Principe Actif;1
66434780;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,5 mg;un comprimé;Principe Actif;2
66434780;Comprimé;60255;LISINOPRIL DIHYDRATÉ;21,8 mg;un comprimé;Principe Actif;1
66441013;Solution buvable en gouttes;70369;AMMONIUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une gélule;Principe Actif;20
66441440;Comprimé rose clair;2245;ACÉTATE DE CHLORMADINONE;2 mg;un comprimé;Principe Actif;1
66460565;Gélule;71030;NILOTINIB;200 mg;une gélule;Fraction Thérapeutique;1
66466080;Comprimé;47875;FRAXINUS AMERICANA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml de solution pour perfusion;Principe Actif;18
66470506;Comprimé;65875;CÉFACLOR ANHYDRE;500 mg;un comprimé;Fraction Thérapeutique;1
66471451;Comprimé;39306;EXÉMESTANE;25 mg;un comprimé;Principe Actif;1
66484185;Gélule;3215;CASSIS (FEUILLE DE);340 mg;une gélule;Principe Actif;1
66500369;Comprimé;54231;CHLORHYDRATE D'IRBÉSARTAN;344,43  mg;un comprimé;Principe Actif;1
66515741;Solution;127;BAUME DU PÉROU;1 g;100 g de solution pour inhalation;Principe Actif;2
66543281;Suspension;20245;VIRUS POLIOMYÉLITIQUE SOUCHE SAUKETT DE TYPE 3 INACTIVÉ;32 UD;une dose de 0,5 ml;Principe Actif;7
66584214;Comprimé;37;DICLOFÉNAC SODIQUE;50 mg;un comprimé;Principe Actif;1
66586731;Solution;3434;SULFATE DE POLYMYXINE B;700 000 UI;100 ml;Principe Actif;2
66586731;Solution;84167;FRAMYCÉTINE;0,700 g;100 ml;Fraction Thérapeutique;3
66593722;Gélule;67402;AUBÉPINE (SOMMITÉ FLEURIE D') (EXTRAIT SEC DE);200 mg;une gélule;Principe Actif;1
66607848;Solution;1901;CITRATE DE FENTANYL;0,785 mg;une ampoule de 10 ml;Principe Actif;1
66627847;Comprimé;16849;GABAPENTINE;600 mg;un comprimé;Principe Actif;1
66649523;Comprimé;62155;ROPINIROLE BASE;1 mg;un comprimé;Fraction Thérapeutique;1
66654374;Comprimé;42537;ONDANSÉTRON;8 mg;un comprimé;Principe Actif;1
66664685;Gélule;2099;INDOMÉTACINE;25,0 mg;une gélule;Principe Actif;1
66666939;Comprimé;32743;FINASTÉRIDE;5,0 mg;un comprimé;Principe Actif;1
66684652;Poudre;36098;CANAKINUMAB;150 mg;un flacon;Principe Actif;1
66692535;Solution;48296;CLINDAMYCINE BASE;1 g;100 ml;Fraction Thérapeutique;2
66694073;Comprimé;86008;IBANDRONATE MONOSODIQUE MONOHYDRATÉ;168,8 mg;un comprimé;Principe Actif;1
66694372;Solution;549;IODE;30 g;100 ml de solution;Fraction Thérapeutique;1
66698118;Solution buvable en ampoules;7847;CALCAREA FLUORICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;25
66732143;Poudre;30925;CEFTRIAXONE SODIQUE;1079,27 mg;un flacon de poudre;Principe Actif;1
66743613;Solution;658;THRÉONINE;3,6 g;1000 ml;Principe Actif;17
66743613;Solution;3482;PROLINE;5,6 g;1000 ml;Principe Actif;14
66766366;Solution;41192;CHLORHYDRATE DE TIROFIBAN MONOHYDRATÉ;281 microgrammes;1 ml;Principe Actif;6
66778233;Pommade;2201;DEXPANTHÉNOL;5 g;100 g de pommade;Principe Actif;1
66782630;Comprimé;70320;DONÉPÉZIL BASE;9,12 mg;un comprimé;Fraction Thérapeutique;1
66791145;Comprimé;71861;GLIMÉPIRIDE;1 mg;un comprimé;Principe Actif;1
66791654;Comprimé;96835;ARIPIPRAZOLE;15 mg;un comprimé;Principe Actif;1
66793356;Comprimé;29486;OLMÉSARTAN MÉDOXOMIL;40 mg;un comprimé;Principe Actif;1
66797543;Comprimé;93748;BÉSILATE D'AMLODIPINE;6,935 mg;un comprimé;Principe Actif;2
66809426;Solution;17150;GLUCOSE MONOHYDRATÉ;;;Principe Actif;19
66834778;Pommade;75247;NATRUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé;Principe Actif;24
66844459;Comprimé;18827;DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ;1 mg;un comprimé;Principe Actif;1
66849602;Solution;674;TRYPTOPHANE L;1,9 g;1000 ml;Principe Actif;11
66849602;Solution;2666;MÉTHIONINE;4,7 g;1000 ml;Principe Actif;16
66853013;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
66870977;Comprimé;38524;PANTOPRAZOLE;20 mg;un comprimé;Fraction Thérapeutique;1
66891373;Solution buvable en ampoules;24504;DAMIANA POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;un comprimé;Principe Actif;23
68330257;Solution;1140;AMITRIPTYLINE;2,50 mg;100 ml;Fraction Thérapeutique;1
68333157;Solution buvable en ampoules;7504;AURUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 ml de solution injectable;Principe Actif;26
68341392;Solution;2667;MIDAZOLAM;1 mg;1 ml de solution injectable;Fraction Thérapeutique;1
68359287;Comprimé;55048;NELFINAVIR BASE;250,00 mg;un comprimé;Fraction Thérapeutique;1
68379464;Solution;529;GLUCOSE ANHYDRE;300 g;1000 ml;Principe Actif;1
68380281;Poudre;5248;AMOXICILLINE ANHYDRE;100 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;1
68401423;Comprimé;32743;FINASTÉRIDE;5 mg;un comprimé;Principe Actif;1
68414328;Comprimé;25975;ZOLPIDEM (TARTRATE DE);10 mg;un comprimé;Principe Actif;1
68419955;Comprimé;5;ACIDE ACÉTYLSALICYLIQUE;330 mg;un comprimé;Principe Actif;1
68419955;Comprimé;6555;GELSÉMIUM (RACINE DE) (TEINTURE DE);0,004 microgramme;un comprimé;Principe Actif;9
68438457;Poudre;94576;BRENTUXIMAB VÉDOTINE;50 mg;un flacon;Principe Actif;1
68445462;Comprimé;1525;VITAMINE D3;400 U.I.;un comprimé;Fraction Thérapeutique;2
68450790;Gélule;25114;CHLORHYDRATE D'HYDROMORPHONE;16 mg;une gélule;Principe Actif;1
68461541;Comprimé;420;CAFÉINE;10,0 mg;un comprimé;Principe Actif;2
68465130;Comprimé;99303;CEFPODOXIME PROXÉTIL;;;Principe Actif;1
68465792;Comprimé;83210;MÉTHYSERGIDE BASE;1,65 mg;un comprimé;Fraction Thérapeutique;1
68472961;Solution;94881;MAGNÉSIUM;3,82 mg;une ampoule de 2 ml;Fraction Thérapeutique;1
68508051;Comprimé;86571;CHLORHYDRATE DE TRAMADOL;300 mg;un comprimé;Principe Actif;1
68514385;Gélule;80889;FLUVASTATINE BASE;20 mg;une gélule;Fraction Thérapeutique;1
68525862;Solution;33959;SOLUTION DE DIGLUCONATE DE CHLORHEXIDINE;1,065 g;100 ml;Principe Actif;2
68543077;Solution;62835;BÉSILATE DE CISATRACURIUM;6,7 mg;1 ml;Principe Actif;1
68566777;Granules;9477;DOLICHOS PRURIENS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml de solution injectable;Principe Actif;17
68571144;Gélule;2463;NIFUROXAZIDE;200 mg;une gélule;Principe Actif;1
68583011;Solution buvable en gouttes;19473;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 5DH à 60DH;une gomme;Principe Actif;19
68588503;Comprimé;382;LÉVOTHYROXINE SODIQUE;25 microgrammes;un comprimé;Principe Actif;1
68599161;Comprimé;3602;ACÉTATE D'ALPHA-TOCOPHÉROL;;;Principe Actif;8
68615174;Comprimé;71861;GLIMÉPIRIDE;3 mg;un comprimé;Principe Actif;1
68623413;Poudre orale;58004;CHIONANTHUS VIRGINIANA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;24
68623413;Solution buvable en gouttes;58004;CHIONANTHUS VIRGINIANA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;19
68632565;Solution;5765;TIAPRIDE (CHLORHYDRATE DE);111,1 mg;une ampoule;Principe Actif;1
68637167;Poudre;33543;INDACATÉROL;0,150 mg;une gélulle;Fraction Thérapeutique;1
68646885;Poudre;35232;CEFTRIAXONE BASE;250 mg;un flacon;Fraction Thérapeutique;1
68657821;Pâte;5431;LIDOCAÏNE;37 g;100 g de pâte pour usage dentaire;Principe Actif;1
68661613;Solution;901;SODIUM (CHLORURE DE);6,1400 g;1000 ml;Principe Actif;3
68667580;Solution;24075;ÉTANERCEPT;25 mg;une seringue pré-remplie;Principe Actif;1
68669097;Comprimé;33939;HARPAGOPHYTON (EXTRAIT SEC D');450 mg;un comprimé;Principe Actif;1
68690771;Pommade;16278;COLLINSONIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);100 ml;Principe Actif;25
68710067;Comprimé;18867;DROSPIRÉNONE;3 mg;un comprimé;Principe Actif;2
68713704;Gélule;88643;ESCHSCHOLTZIA (PARTIE AÉRIENNE FLEURIE D') (POUDRE DE);120 mg;une gélule;Principe Actif;7
68713946;Comprimé bleu;64091;CHLORHYDRATE DE QUINAGOLIDE;0,0546 mg;un comprimé;Principe Actif;1
68718427;Gélule;45973;BITARTRATE DE MERCAPTAMINE;147,24 mg;une gélule;Principe Actif;10
68719828;Poudre orale;72086;GLECHOMA HEDERACEA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;23
68734919;Comprimé;35876;CHLORHYDRATE DE ROPINIROLE;;;Principe Actif;1
60111197;Comprimé;25715;ACICLOVIR;800 mg;un comprimé;Principe Actif;1
60131132;Comprimé;21050;PHOSPHATE DE SITAGLIPTINE MONOHYDRATÉ;;;Principe Actif;1
60184188;Comprimé;5562;SODIUM (VALPROATE DE);500,00 mg;un comprimé;Principe Actif;1
60186584;Comprimé;79562;LORMÉTAZÉPAM;2 mg;un comprimé;Principe Actif;1
60196176;Poudre;5248;AMOXICILLINE BASE;100 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;1
60196176;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
63905138;Solution;85758;TRIMIPRAMINE BASE;4 g;100 ml;Fraction Thérapeutique;1
63909453;Comprimé;76541;LANTHANE;500 mg;un comprimé;Fraction Thérapeutique;1
63909663;Gélule;63854;CÉLÉCOXIB;200 mg;une gélule;Principe Actif;1
63925105;Comprimé;92464;ATORVASTATINE CALCIQUE TRIHYDRATÉE;86,76 mg;un comprimé;Principe Actif;1
63961902;Solution;22650;PHOSPHATE MONOPOTASSIQUE;136,10 mg;1 ml de solution pour perfusion;Principe Actif;1
63969240;Granules;8014;ARSENICUM ALBUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 5DH à 60DH;un comprimé;Principe Actif;14
63976352;Vernis à ongles;53732;CHLORHYDRATE D'AMOROLFINE;5,574 g;100 ml;Principe Actif;1
63983845;Comprimé;69916;PÉRINDOPRIL ARGININE;10 mg;un comprimé;Principe Actif;1
63987103;Crème;36246;FENTICONAZOLE BASE;1,757 g;100 g de crème;Fraction Thérapeutique;1
64018107;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,5 mg;un comprimé;Principe Actif;2
64041547;Comprimé;59533;VALÉRIANE (RACINE DE) (EXTRAIT SEC DE);125 mg;un comprimé;Principe Actif;1
64048335;Collyre;38467;BRIMONIDINE;1,3 mg;1 ml de solution;Fraction Thérapeutique;1
64078606;Solution;23654;TOBRAMYCINE;3 mg;1 ml de solution;Principe Actif;1
64115983;Compartiment acides aminés;1021;GLYCINE;0,12 g;125 ml;Principe Actif;7
64115983;Compartiment glucose;432;GLUCONATE DE CALCIUM;1,05 g;125 ml;Principe Actif;22
64117692;Granules;80443;EQUISETUM HIEMALE POUR PRÉPARATIONS HOMÉOPATHIQUES;0,02 ml (6 DH);un tube de granules de 4 g;Principe Actif;2
64119056;Grand compartiment (b);901;CHLORURE DE SODIUM;6,44 g;1000 ml de solution;Principe Actif;8
64126741;Solution;3505;MAGNÉSIUM (PIDOLATE DE);10 g;100 ml de solution injectable;Principe Actif;1
64127601;Solution;17191;LÉVOFOLINATE CALCIQUE PENTAHYDRATÉ;;;Principe Actif;1
64139386;Gélule;86571;CHLORHYDRATE DE TRAMADOL;200 mg;une gélule;Principe Actif;1
64142293;Comprimé;50091;ATORVASTATINE CALCIQUE;;;Principe Actif;1
64168498;Solution;25985;CINCHONINE (CHLORHYDRATE DE);2,120 mg;une ampoule de 2 ml;Principe Actif;3
64184901;Collyre;200;MALÉATE DE TIMOLOL;6,830 mg;1 ml;Principe Actif;2
64197133;Comprimé;3226;ACÉTATE DE FLÉCAÏNIDE;100 mg;un comprimé;Principe Actif;1
64210075;Solution;2130;PIPAMPÉRONE (CHLORHYDRATE DE);4,800 g;100 ml;Principe Actif;1
64220347;Comprimé;338;DICHLORHYDRATE DE TRIMÉTAZIDINE;35 mg;un comprimé;Principe Actif;1
64223756;Suppositoire;43182;EXTRAIT MOU DE GRINDÉLIA;20 mg;un suppositoire;Principe Actif;5
64226229;Granules;13009;LAPPA MAJOR POUR PRÉPARATIONS HOMÉOPATHIQUES;0,02 ml (4 DH);un tube de granules de 4 g;Principe Actif;3
64226827;Comprimé;74765;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ;21,4 mg;un comprimé;Principe Actif;2
64250493;Comprimé;35876;ROPINIROLE (CHLORHYDRATE DE);;;Principe Actif;1
64257178;Solution buvable en ampoules;9308;CÉDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml de solution;Principe Actif;25
64265004;Comprimé;626;SALBUTAMOL;2,00 mg;un comprimé;Fraction Thérapeutique;1
64266526;Poudre;87823;TUROCTOCOG ALFA;3000 UI;un flacon;Principe Actif;1
64296409;Poudre;52488;SÉNÉ (FEUILLE DE), EXTRAIT SEC TITRÉ DE;2,40 g titré à 54 mg de sennosides A et B exprimés en sennosides B;5 g;Principe Actif;1
64309461;Solution;7787;MIRISTALKONIUM (CHLORURE DE);0,50 g;100 g;Principe Actif;5
64316274;Solution;5009;SODIUM (LACTATE DE), SOLUTION DE;7,850 g;1000 ml;Principe Actif;2
64317757;Gel;889;BENZOYLE (PEROXYDE DE);5 g;100 g;Principe Actif;1
64362503;Solution buvable en ampoules;28788;ORIGANUM MAJORANA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;25
64380679;Suppositoire;51781;GELSÉMIUM (EXTRAIT DE) (MOU);20,0 mg;un suppositoire;Principe Actif;6
64384738;Comprimé;5241;SULBUTIAMINE;200,000 mg;un comprimé;Principe Actif;1
64396480;Solution;4558;SODIUM (HYDROGÉNOPHOSPHATE DE) DODÉCAHYDRATÉ;4,80 g;un récipient unidose de 60 ml;Principe Actif;1
64428978;Comprimé;32925;TERBINAFINE (CHLORHYDRATE DE);281,25 mg;un comprimé;Principe Actif;1
64440368;Gélule;915;CHLORHYDRATE DE DILTIAZEM;200 mg;une gélule;Principe Actif;1
64470678;Gélule;5093;BENSÉRAZIDE (CHLORHYDRATE DE);28,5 mg;une gélule;Principe Actif;8
64475561;Solution;629;SÉRINE;0,21 g;100 ml;Principe Actif;9
64477733;Solution;47604;GENTAMICINE;10 mg;1 ml;Fraction Thérapeutique;1
64500662;Comprimé;15304;LISINOPRIL ANHYDRE;20 mg;un comprimé;Fraction Thérapeutique;1
64505887;Comprimé;9231;AMISULPRIDE;100 mg;un comprimé;Principe Actif;1
64521852;Comprimé;7560;CHLORHYDRATE DE FLUOXÉTINE;;;Principe Actif;1
64527905;Suspension;24381;BUDÉSONIDE;1 mg;un récipient unidose de 2 ml;Principe Actif;1
