code_identifiant;presentation7;libéllé;Statut administratif de la présentation;Etat de commercialisation de la présentation;Date de la déclaration de commercialisation;Code Identifiant de Présentation à 13 chiffres;Agrément aux collectivités;taux_remboursement;prix€;indications_remboursement;dec;Prix
60238376;3337154;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;1991-09-19;3400933371548;non;;;;;
60238853;3908088;Plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-01-30;3400939080888;non;65 %;8;;42;8.42
60260497;3389501;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;1996-02-19;3400933895013;oui;65 %;37;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Psychose et schizophrénie chez l'adulte<br>- Accès maniaques chez l'adulte atteint de trouble bipolaire<br>- Agressivité persistante dans le contexte d'un trouble de la conduite, chez les enfants âgés de 5 ans à 11 ans présentant un retard intellectuel - JOURNAL OFFICIEL  - 25/08/06 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;1;37.1
60263461;4900338;Plaquette(s) thermoformée(s) pvc-aluminium de 180 gélule(s);Présentation active;Déclaration de commercialisation;2010-01-19;3400949003389;oui;30 %;60;;66;60.66
60270452;3745485;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 84 comprimé(s) ( abrogée le 24/07/2013);Présentation abrogée;Déclaration de commercialisation;2008-06-05;3400937454858;non;65 %;22;;8;22.8
60274618;2235859;Plaquette(s) thermoformée(s) pvc polychlortrifluoroéthylène aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2013-07-02;3400922358598;oui;65 %;27;;01;27.01
60282999;3910493;Plaquette(s) thermoformée(s) polyamide pvc aluminium avec fermeture de sécurité enfant de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2009-03-08;3400939104935;oui;65 %;210;;53;210.53
60310861;3480940;Plaquette(s) thermoformée(s) pvc polyéthylène de 10 suppositoire(s);Présentation active;Déclaration de commercialisation;1999-01-09;3400934809408;oui;65 %;1;;26;1.26
60323481;5601336;Plaquette(s) thermoformée(s) pvc aluminium de 1000 comprimé(s);Présentation active;Déclaration de commercialisation;2011-08-04;3400956013364;non;;;;;
60327615;5636033;Plaquette(s) thermoformée(s) papier polytéréphtalate (pet) aluminium pvc de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2006-09-26;3400956360338;oui;;;;;
60327818;2679473;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2013-10-09;3400926794736;oui;65 %;6;;64;6.64
60351986;5533706;Plaquette(s) thermoformée(s) pvc-aluminium de 100 comprimé(s);Présentation active;Déclaration de commercialisation;1987-02-19;3400955337065;oui;;;;;
60356727;3865232;5 sachet(s) papier aluminium polyacrylonitrile de 1 dispositif(s);Présentation active;Déclaration de commercialisation;2009-02-04;3400938652321;oui;65 %;44;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans le cas suivant :<br><br>- Douleurs chroniques sévères d'origine cancéreuse. - JOURNAL OFFICIEL  - 15/03/98 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;13;44.13
60364161;3931584;Pilulier(s) polypropylène de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-02-11;3400939315843;oui;65 %;51;;01;51.01
60375720;3551723;20 poche(s) (clearflex) polyéthylène polyamide polypropylène avec valve suremballée/surpochée de 500 ml;Présentation active;Déclaration de commercialisation;1994-01-01;3400935517234;oui;;;;;
60384324;4933378;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-10-14;3400949333783;oui;65 %;19;;4;19.4
60407463;3377627;1 flacon(s) en verre de 100 ml;Présentation active;Déclaration de commercialisation;1995-06-19;3400933776275;non;65 %;34;;2;34.2
60408088;3742340;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 gélule(s);Présentation active;Déclaration de commercialisation;2010-08-03;3400937423403;non;30 %;6;;54;6.54
60412745;2182927;1 plaquette(s) thermoformée(s) pvc pvdc aluminium de 21 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2015-06-26;3400921829273;non;;;;;
60428475;3704865;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2015-02-27;3400937048651;non;65 %;7;;84;7.84
60435263;3575534;Plaquette(s) thermoformée(s) pvc polyéthylène aluminium-aclar de 2 comprimé(s);Présentation active;Déclaration de commercialisation;2007-10-04;3400935755346;oui;65 %;6;;53;6.53
60443413;5717837;1 flacon(s) en verre de 1,2 ml - 1 flacon(s) en verre de 1,8 ml;Présentation active;Déclaration de commercialisation;2008-02-01;3400957178376;oui;;;;;
60452558;3389990;Plaquette(s) thermoformée(s) pvc-aluminium de 16  comprimé(s);Présentation active;Déclaration de commercialisation;2013-07-19;3400933899905;oui;;;;;
60453197;3385905;1 flacon(s) en verre avec cuillère-mesure de 60 ml, 12 unités de prise de 5 ml;Présentation active;Déclaration de commercialisation;2006-04-26;3400933859053;non;65 %;1;;87;1.87
60456154;4950715;Plaquette(s) thermoformée(s) aluminium de 28 comprimé(s) (distributeur parallèle : pharma lab);Présentation active;Déclaration de commercialisation;2013-02-09;3400949507153;oui;65 %;40;;17;40.17
60460398;5649018;20 ampoule(s) en verre de 2  ml;Présentation active;Déclaration de commercialisation;2004-05-01;3400956490189;oui;;;;;
60470798;3205866;1 flacon(s) en verre de 500 ml;Présentation active;Déclaration de commercialisation;1976-11-19;3400932058662;non;;;;;
60477853;3923478;Plaquette(s) thermoformée(s) aluminium de 90 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-09-25;3400939234786;non;65 %;18;;08;18.08
60484221;5576288;50 cartouche(s) en verre de 1,7 ml avec piston(s);Présentation active;Déclaration de commercialisation;1992-06-07;3400955762881;oui;;;;;
60484221;5671609;50 cartouche(s) en verre de 1 ml avec piston(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-04-24;3400956716098;non;;;;;
60492702;3025905;Plaquette(s) thermoformée(s) pvc-aluminium de 30  comprimé(s);Présentation active;Déclaration de commercialisation;1955-08-19;3400930259054;oui;65 %;1;;85;1.85
60496323;3648463;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-09-07;3400936484634;non;65 %;6;;66;6.66
60505950;3624066;20 récipient(s) unidose(s) polyéthylène basse densité (pebd) de 2  ml;Présentation active;Déclaration de commercialisation;2004-04-22;3400936240667;oui;65 %;19;;53;19.53
60535623;3010275;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;1944-01-19;3400930102756;non;;;;;
60542703;3015812;Plaquette(s) thermoformée(s) pvc polyéthylène de 10 suppositoire(s);Présentation active;Déclaration de commercialisation;1960-01-19;3400930158128;non;;;;;
60549797;3760970;5 flacon(s) en verre - 5 seringue(s) préremplie(s) en verre de 1 ml avec aiguille(s);Présentation active;Déclaration de commercialisation;2007-11-09;3400937609708;oui;100 %;159;;39;159.39
60570229;3608558;28 plaquette(s) thermoformée(s) polyamide aluminium pvc de 1 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-06-26;3400936085589;non;;;;;
60571391;3377320;1 flacon(s) pressurisé(e)(s) aluminium de 200 dose(s) avec valve doseuse;Présentation active;Déclaration de commercialisation;1996-02-19;3400933773205;oui;65 %;19;;79;19.79
60585996;3420843;1 flacon(s) en verre brun de 270 gélule(s);Présentation active;Déclaration de commercialisation;1997-11-19;3400934208430;oui;100 %;357;;38;357.38
60596494;3690873;Plaquette(s) thermoformée(s) pvc polychlortrifluoroéthylène pvc-aluminium de 84 comprimé(s);Présentation active;Déclaration de commercialisation;2006-08-21;3400936908734;oui;65 %;39;;14;39.14
60598520;5709430;1 flacon(s) en verre de 50 mg;Présentation active;Déclaration de commercialisation;2007-12-27;3400957094300;oui;;;;;
60632734;2199862;Plaquette(s) pvc pvdc aluminium de 30 gélule(s);Présentation active;Déclaration de commercialisation;2015-04-23;3400921998627;non;65 %;8;;06;8.06
60657189;3717224;1 flacon(s) polyéthylène basse densité (pebd) de 5 ml;Présentation active;Déclaration de commercialisation;2006-04-27;3400937172240;oui;65 %;17;;33;17.33
60670215;3629023;Pilulier(s) polyéthylène haute densité (pehd) de 28 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-05-23;3400936290235;non;65 %;8;;42;8.42
60672814;3398612;3 plaquette(s) thermoformée(s) pvc pvdc aluminium de 10  comprimé(s);Présentation active;Déclaration de commercialisation;1996-02-19;3400933986124;oui;65 %;1;;27;1.27
60672974;2732606;Plaquette(s) thermoformée(s) pvc polychlortrifluoroéthylène aluminium de 56 comprimé(s);Présentation active;Déclaration de commercialisation;2014-06-05;3400927326066;oui;100 %;3802;;60;3802.6
60691750;2216715;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-08-20;3400922167152;oui;65 %;6;;64;6.64
60703409;5705254;10 flacon(s) en verre avec dispositif(s) de transfert;Présentation active;Arrêt de commercialisation (le médicament n'a plus d'autorisation);2014-06-03;3400957052546;non;;;;;
60703576;5642111;10 poche(s) pvc de 200  ml;Présentation active;Déclaration de commercialisation;2006-10-13;3400956421114;oui;;;;;
60724887;3364263;20 ampoule(s) en verre jaune(brun) de 10  ml;Présentation active;Déclaration d'arrêt de commercialisation;2015-01-04;3400933642631;non;;;;;
60739234;3364926;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 30  comprimé(s);Présentation active;Déclaration de commercialisation;1997-12-19;3400933649265;oui;15 %;7;;99;7.99
60744612;3634047;10 ampoule(s) bouteille en verre de 2 ml;Présentation active;Déclaration de commercialisation;2005-11-28;3400936340473;non;;;;;
60757264;3745864;Plaquette(s) polyamide aluminium pvc-aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2010-05-24;3400937458641;oui;65 %;1023;;14;1023.14
60770621;5612417;6 ampoule(s) en verre brun avec pipette doseuse polypropylène de 1 ml;Présentation active;Déclaration de commercialisation;2000-10-26;3400956124176;oui;;;;;
60782303;3646866;"2 seringue(s) préremplie(s) en verre de 0,4 ml avec système de sécurité ""eris""";Présentation active;Déclaration de commercialisation;2006-05-23;3400936468665;oui;65 %;13;;4;13.4
60793029;3811727;Plaquette(s) thermoformée(s) aluminium de 28 gélule(s);Présentation active;Déclaration de commercialisation;2007-12-14;3400938117271;oui;65 %;8;;42;8.42
60796491;3865433;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 60 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-09-29;3400938654332;non;30 %;6;;48;6.48
60797376;3338685;1 tube(s) aluminium verni de 15 g;Présentation active;Déclaration de commercialisation;1994-10-05;3400933386856;oui;30 %;3;;12;3.12
60828882;4981472;1 flacon(s) en verre de 2,5 ml avec 20 spatule(s);Présentation active;Déclaration de commercialisation;2011-07-04;3400949814725;oui;30 %;13;;47;13.47
60832521;3179821;1 flacon(s) en verre jaune(brun) de 45 ml;Présentation active;Déclaration de commercialisation;1969-11-30;3400931798217;non;;;;;
60841335;4950709;Plaquette(s) thermoformée(s) aluminium de 28 comprimé(s) (distributeur parallèle : pharma lab);Présentation active;Déclaration de commercialisation;2013-02-09;3400949507092;oui;65 %;76;;59;76.59
60845351;3254913;1 plaquette(s) thermoformée(s) pvc-aluminium de de 7 comprimé(s) blancs, 7 comprimé(s) oranges pâles et 7 comprimé(s) oranges;Présentation active;Déclaration de commercialisation;1984-07-19;3400932549139;oui;65 %;1;;12;1.12
60858338;2172751;Flacon(s) en verre brun avec fermeture de sécurité enfant de 5 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-09-13;3400921727517;non;;;;;
60862607;2172716;Flacon(s) en verre brun avec fermeture de sécurité enfant de 5 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-09-13;3400921727166;non;;;;;
60885214;2209081;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-02-05;3400922090818;oui;65 %;6;;64;6.64
60905236;4186065;Plaquette(s) pvc-aluminium de 5 comprimé(s);Présentation active;Arrêt de commercialisation (le médicament n'a plus d'autorisation);2015-06-05;3400941860652;oui;65 %;11;;27;11.27
60905873;3903027;Plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2009-08-05;3400939030272;oui;65 %;7;;49;7.49
60925192;3587514;10 récipient(s) unidose(s) polyéthylène de 0,4  ml;Présentation active;Déclaration de commercialisation;2002-04-16;3400935875143;non;;;;;
60932557;3384780;1 flacon(s) polyéthylène de 35 ml;Présentation active;Déclaration de commercialisation;1995-05-19;3400933847807;non;;;;;
60937209;3673219;8 sachet(s)-dose(s) papier polyéthylène aluminium p-a-m-éthylène (surlyn) de 1,566 g;Présentation active;Déclaration d'arrêt de commercialisation;2014-01-02;3400936732193;non;65 %;5;;42;5.42
60941378;3383898;1 flacon(s) compte-gouttes (incorporé) polyéthylène basse densité (pebd) de 5  ml;Présentation active;Déclaration de commercialisation;1995-11-19;3400933838980;oui;65 %;13;;58;13.58
60960624;3869247;1 flacon(s) en verre de 10 ml;Présentation active;Déclaration de commercialisation;2011-05-01;3400938692471;oui;;;;;
60960777;3520295;10 flacon(s) polypropylène de 50 ml;Présentation active;Déclaration de commercialisation;2003-09-04;3400935202956;oui;;;;;
60960777;3520349;10 bouteille(s) polypropylène de 100 ml;Présentation active;Déclaration de commercialisation;2003-05-14;3400935203496;oui;;;;;
60972480;3858143;1 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2009-04-11;3400938581430;oui;65 %;18;;13;18.13
60982364;3766613;Plaquette(s) thermoformée(s) polypropylène aluminium de 5 comprimé(s);Présentation active;Déclaration de commercialisation;2008-05-29;3400937666138;oui;65 %;1;;8;1.8
61000075;3765631;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;2006-10-20;3400937656313;oui;65 %;1;;55;1.55
61009850;3139052;1 tube(s) aluminium verni de 100 g;Présentation active;Déclaration de commercialisation;1973-01-19;3400931390527;non;;;;;
61065137;5695768;10 flacon(s) en verre;Présentation active;Déclaration de commercialisation;2006-12-10;3400956957682;oui;;;;;
68337593;3724394;Plaquette(s) thermoformée(s) pvc aluminium polyamide de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2006-02-12;3400937243940;non;65 %;19;;4;19.4
68344004;2175413;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2015-08-13;3400921754131;non;30 %;4;;29;4.29
68367234;2172969;Plaquette(s) thermoformée(s) (aclar rx) polytrifluorochloroéthylène aluminium de 90 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-01-30;3400921729696;non;65 %;19;;4;19.4
68389750;3347767;1 sachet(s) polyéthylène de 10 suppositoire(s);Présentation active;Déclaration de commercialisation;1992-08-19;3400933477677;non;;;;;
68396894;2172478;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-02-05;3400921724783;oui;65 %;6;;64;6.64
68415437;3990629;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2011-11-14;3400939906294;oui;65 %;6;;64;6.64
68419617;3716584;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 3 comprimé(s);Présentation active;Déclaration de commercialisation;2007-05-01;3400937165846;non;;;;;
68461541;3421481;Plaquette(s) thermoformée(s) pvc aluminium de 15  comprimé(s);Présentation active;Déclaration de commercialisation;1997-01-19;3400934214813;non;;;;;
68480082;3932483;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 42 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-01-31;3400939324838;non;65 %;39;;14;39.14
68494908;5590029;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 50 gélule(s);Présentation active;Déclaration de commercialisation;1996-11-19;3400955900290;oui;;;;;
68497014;3873289;1 flacon(s) polyéthylène haute densité (pehd) de 50 ml  avec fermeture de sécurité enfant avec seringue(s) pour administration orale polyéthylène polystyrène avec gobelet(s) doseur(s) polypropylène;Présentation active;Déclaration de commercialisation;2009-01-20;3400938732894;oui;65 %;3;;97;3.97
68592416;3338969;1 flacon(s) polyéthylène de 250 ml;Présentation active;Déclaration de commercialisation;1992-11-19;3400933389697;oui;;;;;
68604270;3469542;2 poche(s) bicompartimenté(e)(s)/à 2 compartiments polyamide polytéréphtalate (pet) polypropylène suremballée(s)/surpochée(s) élastomère de 0,25 l - 2 poche(s) bicompartimenté(e)(s)/à 2 compartiments polyamide polytéréphtalate (pet) polypropylène surembal;Présentation active;Déclaration de commercialisation;2010-06-14;3400934695421;oui;;;;;
68646102;3606631;20 poche(s) (ecobag) polypropylène polyéthylène polyester suremballée(s)/surpochée(s) de 500 ml;Présentation active;Déclaration de commercialisation;2003-12-01;3400936066311;oui;;;;;
68654031;3947332;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-11-29;3400939473321;non;65 %;17;;12;17.12
68655884;3480816;Plaquette(s) thermoformée(s) pvc-aluminium pvdc de 30 gélule(s);Présentation active;Déclaration de commercialisation;1999-01-30;3400934808166;oui;65 %;4;;08;4.08
68672780;3730762;1 flacon(s) en verre brun de 150 ml avec dispositif(s) doseur(s) polypropylène;Présentation active;Déclaration de commercialisation;2007-01-18;3400937307628;non;;;;;
68683563;3555508;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2009-11-19;3400935555083;oui;65 %;3;;01;3.01
68722475;4939530;Plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-09-05;3400949395309;oui;65 %;8;;42;8.42
68726979;3791479;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 7 gélule(s);Présentation active;Déclaration de commercialisation;2008-04-21;3400937914796;oui;65 %;4;;33;4.33
68762676;3673886;1 flacon(s) en verre de 40 ml;Présentation active;Déclaration de commercialisation;2006-03-03;3400936738867;oui;65 %;4;;14;4.14
68782718;3377892;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2007-01-23;3400933778927;oui;65 %;7;;96;7.96
68818192;3040000;Plaquette(s) pvc aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;1960-01-19;3400930400005;oui;65 %;2;;94;2.94
68827444;5746359;1 flacon(s) en verre - 1 seringue(s) préremplie(s) en verre de 4 ml, avec un dispositif de reconstitution, avec un adaptateur pour flacon, avec un nécessaire de perfusion, avec tampon(s) alcoolisé(s), avec un pansement et avec une compresse;Présentation active;Déclaration de commercialisation;2009-07-09;3400957463595;oui;;;;;
68852892;3001040;2 plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 6 pastille(s);Présentation active;Déclaration de commercialisation;2015-08-24;3400930010402;non;;;;;
68861083;3828828;5 poche(s) polyamide polypropylène suremballée/surpochée de 1250 ml à 3 compartiments;Présentation active;Déclaration de commercialisation;2008-05-15;3400938288285;oui;65 %;174;;08;174.08
68887103;3668655;Plaquette(s) thermoformée(s) pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2007-01-29;3400936686557;oui;65 %;24;;43;24.43
68995940;2242167;Flacon(s) polyéthylène haute densité (pehd) avec fermeture de sécurité enfant de 14 gélule(s);Présentation active;Déclaration de commercialisation;2014-04-02;3400922421674;non;;;;;
69025080;3555684;Plaquette(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2006-08-24;3400935556844;oui;65 %;9;;91;9.91
69052120;3430149;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 15 gélule(s);Présentation active;Déclaration de commercialisation;1998-10-16;3400934301490;oui;30 %;2;;46;2.46
69088419;3319133;1 tube(s) aluminium polyéthylène de 3 g;Présentation active;Déclaration de commercialisation;1990-01-19;3400933191337;oui;65 %;2;;69;2.69
69159834;3392791;3 plaquette(s) thermoformée(s) pvc-aluminium de 10 comprimé(s);Présentation active;Déclaration de commercialisation;1996-05-19;3400933927912;oui;65 %;2;;78;2.78
69171021;3267028;1 flacon(s) polyéthylène de 5 ml;Présentation active;Déclaration de commercialisation;1984-11-19;3400932670284;non;;;;;
69175660;3797602;Plaquette(s) thermoformée(s) pvc-aluminium de 12 gélule(s);Présentation active;Déclaration de commercialisation;2008-07-01;3400937976022;oui;65 %;3;;33;3.33
69203202;3933904;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2009-06-26;3400939339047;oui;65 %;6;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Psychose et schizophrénie chez l'adulte<br>- Accès maniaques chez l'adulte atteint de trouble bipolaire<br>- Agressivité persistante dans le contexte d'un trouble de la conduite, chez les enfants âgés de 5 ans à 11 ans présentant un retard intellectuel - JOURNAL OFFICIEL  - 20/04/05 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;52;6.52
69204699;2798261;3 plaquette(s) pvc pvdc aluminium de 21 comprimé(s);Présentation active;Déclaration de commercialisation;2015-05-21;3400927982613;oui;65 %;4;;08;4.08
69250216;3815180;1 seringue(s) préremplie(s) en verre de 0,3 ml avec aiguille(s);Présentation active;Déclaration de commercialisation;2008-01-09;3400938151800;oui;65 %;261;;08;261.08
69252651;5846658;5 ampoule(s) en verre de 2,5 ml;Présentation active;Déclaration de commercialisation;2014-10-21;3400958466588;oui;;;;;
69258056;5560399;25 flacon(s) en verre de 1  g - 25 ampoule(s) en verre de 5  ml;Présentation active;Déclaration de commercialisation;1988-08-19;3400955603993;non;;;;;
69258056;5609177;50 flacon(s) en verre de 1 g - 50 ampoule(s) en verre de 5 ml;Présentation active;Déclaration de commercialisation;1991-01-01;3400956091775;oui;;;;;
69278297;5839807;5 ampoule(s) en verre de 5 ml;Présentation active;Déclaration de commercialisation;2013-03-06;3400958398070;oui;;;;;
69279253;5714951;Flacon(s) polycarbonate de 1 gélule(s);Présentation active;Déclaration de commercialisation;2010-09-01;3400957149512;oui;;;;;
69309586;4160143;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2012-02-05;3400941601439;oui;65 %;19;;4;19.4
69311014;3774765;Plaquette(s) thermoformée(s) pvc polyéthylène (aclar rx) polytrifluorochloroéthylène aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2007-12-12;3400937747653;oui;65 %;15;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Psychose et schizophrénie chez l'adulte<br>- Accès maniaques chez l'adulte atteint de trouble bipolaire<br>- Agressivité persistante dans le contexte d'un trouble de la conduite, chez les enfants âgés de 5 ans à 11 ans présentant un retard intellectuel - JOURNAL OFFICIEL  - 25/08/06 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;07;15.07
69318749;5768450;10 ampoule(s) en verre de 2 ml;Présentation active;Déclaration de commercialisation;2011-02-05;3400957684501;oui;;;;;
69325697;3290033;Plaquette(s) thermoformée(s) pvc-aluminium de 10  comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-01-12;3400932900336;non;65 %;9;;61;9.61
69340304;3345975;Plaquette(s) thermoformée(s) pvc-aluminium de 3 comprimé(s);Présentation active;Déclaration de commercialisation;1994-12-19;3400933459758;oui;65 %;12;;42;12.42
69341566;3470284;Plaquette(s) thermoformée(s) pvc-aluminium pvdc polyéthylène de 96 comprimé(s);Présentation active;Déclaration de commercialisation;2010-08-23;3400934702846;oui;;;;;
69361469;3236499;1 flacon(s) en verre de 250 ml;Présentation active;Déclaration de commercialisation;1966-05-19;3400932364992;non;;;;;
69416855;5603594;10 flacon(s) en verre de 2  g;Présentation active;Déclaration de commercialisation;1998-01-01;3400956035946;oui;;;;;
69448283;3924288;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-06-30;3400939242880;non;65 %;4;;99;4.99
69469719;3762897;3 plaquette(s) thermoformée(s) aluminium de 10 comprimé(s);Présentation active;Déclaration de commercialisation;2006-04-09;3400937628976;oui;65 %;474;;91;474.91
69501953;3252802;Plaquette(s) thermoformée(s) pvc-aluminium de 30  comprimé(s);Présentation active;Arrêt de commercialisation (le médicament n'a plus d'autorisation);2014-01-23;3400932528028;non;;;;;
69512960;2196013;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-06-06;3400921960136;non;65 %;1;;12;1.12
69514324;4198849;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-09-05;3400941988493;oui;65 %;8;;42;8.42
69546553;2241067;2 flacon(s) polytéréphtalate (pet) de 13,2 ml avec pompe avec distributeur(s) avec fermeture de sécurité enfant;Présentation active;Déclaration de commercialisation;2013-04-06;3400922410678;oui;;;;;
69559248;5557931;50 sachet(s) papier kraft aluminium polyéthylène de 73,69 g;Présentation active;Déclaration d'arrêt de commercialisation;2013-01-23;3400955579311;non;;;;;
69559554;3724230;Plaquette(s) thermoformée(s) pvc-aluminium de 84 comprimé(s);Présentation active;Déclaration de commercialisation;2009-09-17;3400937242301;oui;65 %;15;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Hypertension artérielle<br>- Insuffisance cardiaque congestive - JOURNAL OFFICIEL  - 23/08/08 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;55;15.55
69575804;5631113;10 ampoule(s) en verre de 2 ml;Présentation active;Déclaration de commercialisation;2002-05-13;3400956311132;oui;;;;;
69582503;5746448;1 flacon(s) en verre de 10 ml;Présentation active;Déclaration de commercialisation;2009-03-08;3400957464486;oui;;;;;
69620181;3907640;Plaquette(s) thermoformée(s) pvc acétate de polyvinyle aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2009-12-02;3400939076409;oui;65 %;6;;64;6.64
69634537;5718736;1 flacon(s) en verre de 20 ml;Présentation active;Déclaration de commercialisation;2008-05-16;3400957187361;oui;;;;;
69635176;3830682;Plaquette(s) thermoformée(s) pvc-aluminium de 12 gélule(s);Présentation active;Déclaration de commercialisation;2009-06-19;3400938306828;non;;;;;
69636698;3582592;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-10-17;3400935825926;non;65 %;3;;01;3.01
69670234;5749866;100 flacon(s) en verre;Présentation active;Arrêt de commercialisation (le médicament n'a plus d'autorisation);2014-06-03;3400957498665;non;;;;;
69699339;3250097;Plaquette(s) thermoformée(s) pvc-aluminium de 20  comprimé(s);Présentation active;Déclaration de commercialisation;1984-09-19;3400932500970;oui;65 %;5;;73;5.73
